x_axis,speed,
256,108.44916436130433,
362,145.57046125445004,
512,198.63468339656177,
724,285.7587429256237,
1024,336.14226875624615,
1448,474.1641967594529,
2048,568.4150194532551,
2896,658.6497896221777,
4096,783.2520950141277,
5793,895.2243187880118,
8192,920.9156867581974,
11585,993.9705473113665,
16384,1031.1385241669714,
23170,1075.795152761234,
32768,1160.6660416192399,
46341,1130.0906153048638,
65536,1198.054425377445,
92682,1288.1269041020223,
131072,1084.0004902850337,
185364,1139.8585526343015,
262144,1148.2250482947045,
370728,1173.1630158959642,
524288,999.3978856137796,
741455,1015.1405010888034,
1048576,989.593663697927,
1482910,1108.667883923721,
2097152,754.3997474798862,
2965821,802.4804968074308,
4194304,847.952140110484,
5931642,929.363992197719,
8388608,994.6475637801276,
11863283,1068.50014639933,
16777216,1103.4318827252014,
23726566,1145.976358852417,
33554432,1134.7874525567495,
47453133,1151.937409855615,
67108864,1107.0401227144068,
94906266,1055.6459416180064,
134217728,1103.6147320196135,
189812531,988.6378023645293,
