x_axis,lantencys,speed
1,0.038,4332.478
2,0.012,4474.937
4,0.012,4600.119
6,0.012,4435.332
8,0.012,4235.465
10,0.013,4078.527
12,0.014,4056.147
14,0.014,4015.233
16,0.014,4022.154
