x_axis,speed,
256,188.0121488571167,
362,224.16662549972534,
512,252.27551555633545,
724,313.7216444015503,
1024,363.9873741425876,
1448,424.09208057443317,
2048,480.43795716392106,
2896,531.3299260810588,
4096,595.532524418784,
5793,663.2045145374475,
8192,675.7060205519921,
11585,749.0037038863621,
16384,747.5597020177099,
23170,817.7936507636435,
32768,804.7708248558422,
46341,889.2977802771047,
65536,886.9788342433089,
92682,942.299912312618,
131072,652.6215765977457,
185364,679.0563218839354,
262144,672.8024108248605,
370728,693.5373012605462,
524288,599.802876565116,
741455,517.500208773316,
1048576,550.5851026227875,
1482910,601.7370303493519,
2097152,227.01651443939565,
2965821,228.5068978736886,
4194304,245.54562068993621,
5931642,270.3483462626045,
8388608,331.5529865469111,
11863283,340.97814520540555,
16777216,381.5067608024885,
23726566,388.4395900435782,
33554432,399.7839196524508,
47453133,398.7578006458371,
67108864,404.1688686123507,
94906266,408.67163708280896,
134217728,401.301047758464,
189812531,392.1899780924218,
