x_axis,speed,
256,279.5658642189827,
362,283.9994250361534,
512,375.29765005339004,
724,530.4148456229541,
1024,695.065446952857,
1448,784.4732842883302,
2048,742.7296015067977,
2896,1048.811120637916,
4096,1080.4952821417342,
5793,1024.9197843558618,
8192,1326.6008495400747,
11585,1301.9548883492855,
16384,1188.282302490941,
23170,1528.5310548555963,
32768,1219.492324498712,
46341,1639.1512138444202,
65536,1365.8756147168842,
92682,1514.1743167603126,
131072,1079.683252395826,
185364,1234.9775895932453,
262144,1252.852411133188,
370728,1171.6513232092839,
524288,1001.9765112016943,
741455,1041.8552726156847,
1048576,1074.0571863587152,
1482910,1105.3132702258085,
2097152,1138.7448661157475,
2965821,1146.1225786356301,
4194304,1114.6015438284744,
5931642,1204.6451884379524,
8388608,1070.660590116598,
11863283,1136.9976219054547,
16777216,1078.2433167412578,
23726566,1039.8836285087139,
33554432,762.062998437655,
47453133,751.0946564575477,
67108864,752.0196250975952,
94906266,743.9160335091403,
134217728,764.8151143969797,
189812531,741.7721289484355,
