x_axis,lantencys,speed,qps,
256,40.188,0.06980293515717344,271
362,40.198,0.09732978578188617,272
512,20.811,0.13638858567481513,271
724,20.849,0.19154225204822173,273
1024,20.854,0.2693123948213798,272
1448,20.855,0.3796272324425978,271
2048,20.851,0.535249683048308,271
2896,20.867,0.7549412490711995,271
4096,20.947,1.0645363998692532,271
5793,21.755,1.5024612373270347,271
8192,40.742,2.1031390488572144,267
11585,23.286,2.9934249533926014,270
16384,39.513,4.1738113433772215,265
23170,39.508,5.920583614788416,265
32768,39.546,8.265788500425554,262
46341,41.214,11.687369698855312,261
65536,41.439,16.29988792039039,257
92682,59.463,22.89594758940267,255
131072,39.303,31.725303747028395,250
185364,102.747,44.36489958433945,246
262144,103.241,60.85464436700548,236
370728,103.449,83.63799036794822,227
524288,144.865,110.10145984604225,208
741455,124.855,133.91032671671437,180
1048576,167.796,137.902348888344,128
1482910,212.582,136.33586521459026,85
2097152,222.299,136.76490863404524,59
2965821,247.965,137.31674077203198,41
4194304,344.717,136.15985485723587,27
5931642,417.748,136.48496154802055,17
8388608,465.098,139.04522289083553,12
11863283,566.408,141.93590824064788,7
16777216,742.811,145.7067395317212,5
23726566,954.604,152.66153168208828,3
33554432,1353.885,158.39581655996116,2
47453133,1919.859,167.79264488249697,1
67108864,2781.788,181.15272795595644,1
94906266,3795.308,185.97861463058044,1
134217728,5503.681,185.49504064809483,1
189812531,7528.638,241.65329629094833,1
