x_axis,speed,
256,202.81046679480528,
362,233.63774978862168,
512,297.46629880282336,
724,374.37763280992885,
1024,443.19523154560204,
1448,505.55340428483976,
2048,562.8136251239073,
2896,653.0076804156859,
4096,733.2075311926944,
5793,837.9523399016111,
8192,870.0842896847546,
11585,910.1252662484767,
16384,950.2620457737539,
23170,1007.1527645500662,
32768,1027.6703182664949,
46341,1079.3395632936522,
65536,1087.6465300055772,
92682,1121.342080758462,
131072,839.9404242474416,
185364,859.2789814347896,
262144,858.1255879447901,
370728,865.0396057954388,
524288,753.8093566638715,
741455,745.2136343189433,
1048576,728.6481903197111,
1482910,810.6332169887958,
2097152,459.92401531280996,
2965821,469.66987494556713,
4194304,505.51278949210666,
5931642,542.3766146036508,
8388608,569.391493525744,
11863283,622.2602435031574,
16777216,670.6861984760834,
23726566,690.3861929334527,
33554432,731.994621368251,
47453133,724.4475742645831,
67108864,711.3161040436951,
94906266,732.0650267934595,
134217728,740.520660330637,
189812531,700.9842809086924,
