x_axis,speed,
256,216.1950256801636,
362,274.47813029679855,
512,308.3920923870627,
724,350.25234031677246,
1024,412.046654987972,
1448,480.04174766539865,
2048,492.0229394446542,
2896,566.9102506464992,
4096,633.3283659029679,
5793,676.7558763201813,
8192,700.5035588592435,
11585,752.1293688272417,
16384,724.975873324017,
23170,759.5769379262222,
32768,780.7796913016404,
46341,806.275742433142,
65536,807.1488724105069,
92682,826.805115314482,
131072,584.3099751150867,
185364,604.1440189842295,
262144,590.1810108699034,
370728,598.9073126531412,
524288,579.352842614793,
741455,562.8914981239369,
1048576,547.6918106061461,
1482910,555.6215359305737,
2097152,505.3702490495795,
2965821,477.73441854230407,
4194304,460.8633985044614,
5931642,511.85679560663544,
8388608,262.4670639738835,
11863283,299.40439006182964,
16777216,316.44685842293563,
23726566,327.23389166784625,
33554432,334.4482466088197,
47453133,342.7661937733525,
67108864,344.158691239815,
94906266,349.2079890270719,
134217728,343.2464461789557,
189812531,343.19121349408186,
