x_axis,speed,
256,149.74226110958756,
362,183.70616095558913,
512,205.48927999919545,
724,242.36924837771255,
1024,280.6705089024751,
1448,317.4414987564087,
2048,344.31693307034476,
2896,386.15852121642183,
4096,407.032798953224,
5793,434.79584247198136,
8192,434.2492429248478,
11585,447.93538132086616,
16384,442.96536841805147,
23170,454.7323836999413,
32768,450.8004636441847,
46341,470.99220555313667,
65536,472.9797663083014,
92682,477.5973079348682,
131072,321.1488957685154,
185364,330.85252790468513,
262144,326.2658468449241,
370728,321.44111822647403,
524288,276.7493109877455,
741455,284.595535328378,
1048576,260.6948007369669,
1482910,323.6148607858665,
2097152,176.93069026311238,
2965821,191.8997506276701,
4194304,224.66738280078638,
5931642,242.06107328188835,
8388608,280.9509320806339,
11863283,302.6366308658062,
16777216,318.86913347913924,
23726566,329.84474807023366,
33554432,338.1706177522103,
47453133,352.0190694824554,
67108864,350.47761571774896,
94906266,352.7183581856156,
134217728,348.89691371048195,
189812531,343.0710480194177,
