x_axis,speed,
256,29.371278381479463,
362,48.14150223248998,
512,96.83915820183185,
724,137.7907551269637,
1024,204.97936575739976,
1448,378.9244146148468,
2048,485.56591736886645,
2896,567.1155965852992,
4096,652.4265598052822,
5793,767.951638003844,
8192,828.6804219206276,
11585,898.3971569826658,
16384,937.3807703835396,
23170,979.3779413945626,
32768,1029.4133859180508,
46341,1059.6523974002232,
65536,1078.4884606084363,
92682,1077.031503588486,
131072,1039.6909550826385,
185364,1056.3350922326472,
262144,1041.8604515128256,
370728,1056.3667827522572,
524288,999.0205761311296,
741455,1011.3372172832985,
1048576,981.1674367138003,
1482910,1003.103732449394,
2097152,852.1366017708999,
2965821,937.184242565595,
4194304,967.8930019598465,
5931642,975.7709996274345,
8388608,964.3789934677316,
11863283,955.1234488499322,
16777216,942.2175557491883,
23726566,925.697586926113,
33554432,902.9646411885465,
47453133,903.7568587212804,
67108864,885.16908929529,
94906266,869.8123474312889,
134217728,835.9475086510256,
189812531,802.0218944504995,
