x_axis,speed,
256,181.02124309539795,
362,240.42167370067637,
512,271.1497153470316,
724,395.188871383667,
1024,438.40286657785816,
1448,489.70130825042725,
2048,565.6189247436171,
2896,648.5718965346991,
4096,700.5091101058418,
5793,685.9807243274591,
8192,702.8082744518466,
11585,816.4998328184292,
16384,789.0220434422386,
23170,889.9136454042739,
32768,806.843752861023,
46341,868.0848557711859,
65536,877.0460008150222,
92682,886.2359592708043,
131072,637.7046208255391,
185364,664.5369725696522,
262144,659.2245079770446,
370728,675.0991858811391,
524288,621.6526186337888,
741455,625.715873202693,
1048576,644.156506403983,
1482910,636.6415766528123,
2097152,638.4091212750443,
2965821,636.7869316020569,
4194304,614.5807051749173,
5931642,564.4718513323186,
8388608,599.7705906101146,
11863283,617.3133947991168,
16777216,315.01636426360983,
23726566,326.42575421621234,
33554432,334.44341957546385,
47453133,339.11521159462484,
67108864,349.29384876769524,
94906266,352.8026555424559,
134217728,349.41017464654277,
189812531,346.5892007875477,
