x_axis,speed,
256,182.6132994928543,
362,239.1244101524353,
512,283.77739935083343,
724,365.1676616668701,
1024,429.90845012664795,
1448,504.5337743759155,
2048,512.663599176265,
2896,637.4380552204092,
4096,681.9015828965737,
5793,698.4807140895235,
8192,740.2341928024747,
11585,782.3896329381568,
16384,833.3378918030767,
23170,751.5743941089564,
32768,875.0190652656966,
46341,922.1926377525662,
65536,959.4311218910833,
92682,991.5987372684609,
131072,629.8099417586071,
185364,678.4006090332891,
262144,677.82364542834,
370728,662.7306634298874,
524288,640.784124263551,
741455,643.8358284743377,
1048576,635.6765471512124,
1482910,638.7069494708875,
2097152,640.4070148661195,
2965821,637.3018972931937,
4194304,659.1125569998379,
5931642,638.6586599724737,
8388608,651.132368979358,
11863283,627.1855842521667,
16777216,640.3997387614027,
23726566,614.8477100560453,
33554432,627.9785849973462,
47453133,613.6646619121644,
67108864,350.4449036012922,
94906266,347.96630975439217,
134217728,348.7661558722366,
189812531,342.48865152598415,
