x_axis,lantencys,speed
1,2.037,1381.071
2,2.038,2794.833
4,2.030,4495.677
6,2.027,4282.729
8,2.043,4093.162
10,2.217,3970.321
12,2.189,3944.178
14,2.112,3928.020
16,2.108,3887.537
