x_axis,lantencys,speed,qps,
256,3.22,0.06360615175124858,248
362,2.933,0.08912846305772416,250
512,2.958,0.12468390217987779,250
724,3.246,0.17476914530894735,249
1024,2.957,0.24626126026242776,249
1448,2.945,0.347483551021068,249
2048,2.974,0.48898809872214233,249
2896,2.998,0.6831894454051962,246
4096,3.055,0.9532981140840073,243
5793,3.1,1.336930756156458,241
8192,3.123,1.8615453494925196,238
11585,3.217,2.6126307980369536,235
16384,3.296,3.6022632460985906,229
23170,3.266,5.1215099965778155,231
32768,3.405,7.067180842876735,224
46341,3.283,9.944447465163531,224
65536,3.442,13.806862385186271,219
92682,6.087,18.903842194827096,212
131072,5.93,25.518901328035227,202
185364,8.65,32.9531300099749,184
262144,8.842,41.95262826920556,164
370728,9.438,53.72253243821979,147
524288,10.846,63.87028253289199,123
741455,11.28,78.61980771299257,105
1048576,13.091,89.26999350302998,85
1482910,17.238,104.5579188878677,68
2097152,18.513,116.71908468756138,51
2965821,18.773,139.63976777499275,42
4194304,25.29,162.1047968181214,32
5931642,38.824,185.89910390178392,24
8388608,49.877,201.95626249809328,17
11863283,55.804,218.7637854870177,11
16777216,74.602,223.94361445463537,7
23726566,92.92,243.22916330816952,5
33554432,116.829,242.3299909802576,3
47453133,167.478,253.44804603327503,2
67108864,265.674,213.60174681791509,2
94906266,369.178,231.9730389569172,1
134217728,570.867,194.43260515334083,1
189812531,838.724,205.43584991173665,0
