x_axis,lantencys,speed,qps,
256,2.702,0.1351267693154673,527
362,2.707,0.18849741086099125,528
512,2.711,0.26425841690992413,528
724,2.709,0.369679215510836,526
1024,2.7,0.5293728860887729,536
1448,2.715,0.733188076046886,526
2048,2.725,1.027262508775519,522
2896,2.723,1.4525939287265253,523
4096,2.741,2.0427746276133103,521
5793,2.75,2.8999127633261557,523
8192,2.766,4.040954986994024,515
11585,2.818,5.624516965458046,507
16384,2.846,7.802854935448245,497
23170,3.032,11.034947610814378,497
32768,2.956,15.10780471403565,481
46341,2.988,21.384251522243247,481
65536,3.111,29.959449899197676,477
92682,3.341,41.37835478978272,463
131072,5.836,55.823620387091594,443
185364,10.658,72.98137994124178,407
262144,10.647,94.4999420695317,370
370728,10.908,121.00030440093263,335
524288,13.414,145.21039955229313,281
741455,13.848,172.2554101404868,233
1048576,14.867,208.97779743055253,198
1482910,18.653,236.6915055273873,154
2097152,19.808,281.57651710458583,125
2965821,23.813,321.4311783890281,97
4194304,26.506,355.6043223475932,72
5931642,35.814,425.27528980073157,56
8388608,48.08,412.7798896034534,35
11863283,57.812,493.54276667575004,26
16777216,68.914,505.29995179757447,17
23726566,103.365,538.7488732706374,9
33554432,137.081,590.4601886616829,6
47453133,168.789,606.7529091796106,4
67108864,221.869,629.1144825163767,4
94906266,350.201,606.7823022962989,3
134217728,480.805,646.4530811504403,2
189812531,578.83,656.4827752971158,2
