x_axis,speed,
256,177.4655346665143,
362,208.18618297576904,
512,221.0917356026835,
724,247.3559285708689,
1024,283.0669467166276,
1448,322.5838458168958,
2048,346.4457987476301,
2896,377.15589355319867,
4096,397.7605412281561,
5793,431.04505407060196,
8192,438.487712885811,
11585,456.5291285384,
16384,445.26459172848587,
23170,456.27698147331097,
32768,442.4045839008866,
46341,471.9112198756732,
65536,473.0896133269064,
92682,478.66629955817916,
131072,320.80493546383184,
185364,334.80521336012094,
262144,317.30115934457643,
370728,322.59885981386606,
524288,279.8570220473564,
741455,294.69687359622804,
1048576,264.67576130997554,
1482910,324.71334703201825,
2097152,177.60859791337134,
2965821,194.3418568155599,
4194304,209.41651609305868,
5931642,253.70183693685277,
8388608,276.6955218233866,
11863283,300.3543514657855,
16777216,320.97441775565375,
23726566,331.1499860165862,
33554432,338.7568096504556,
47453133,350.04177368633214,
67108864,349.64201709771595,
94906266,348.7432748378041,
134217728,354.701073465864,
189812531,347.59288773666145,
