x_axis,speed,
256,179.8902006149292,
362,209.02681827545166,
512,214.22120922698082,
724,252.26302855479003,
1024,280.01733684539795,
1448,314.508267071904,
2048,338.99511197009423,
2896,373.88055857538154,
4096,394.6653572427874,
5793,424.2592738120959,
8192,431.4952025811647,
11585,440.5330762637126,
16384,439.7498929235497,
23170,450.007650755246,
32768,429.25760073222256,
46341,453.2099959283544,
65536,442.10087972583733,
92682,463.59576377499525,
131072,308.71115441581674,
185364,320.24270189844293,
262144,309.1135656590935,
370728,304.277520054219,
524288,265.12467145518366,
741455,271.1324735160161,
1048576,255.48965552997396,
1482910,317.759493963074,
2097152,173.19561157368219,
2965821,190.13894419286515,
4194304,201.53013535045338,
5931642,227.09709763110916,
8388608,248.73512257892844,
11863283,297.8272861521494,
16777216,315.4515902713362,
23726566,323.67493038636394,
33554432,337.4628414282947,
47453133,338.5913601956332,
67108864,345.1762989021021,
94906266,343.32815038622834,
134217728,343.4008171486006,
189812531,335.2993088937238,
