x_axis,lantencys,speed
1, 63.233, 4.14005489540478
5, 102.337, 20.330868761061677
9, 121.181, 36.71377927877316
13, 121.875, 52.889944499359146
17, 161.861, 68.7131329231678
21, 139.564, 85.98782355411763
25, 159.554, 101.1231572724498
29, 137.985, 118.11467781962115
33, 152.885, 132.97687922070608
37, 155.972, 135.17840192238205
41, 156.639, 133.2836145463925
45, 148.932, 133.65415154427842
49, 81.681, 132.27846079022888
