x_axis,lantencys,speed
10240, 20.928, 0.4432591377443273
219444, 27.502, 8.650040379316206
428648, 23.085, 16.059214086991062
637852, 144.38, 22.252778375264988
847056, 124.88, 29.301081211607315
1056260, 133.97, 36.12308828547489
1265464, 31.559, 41.99257677906709
1474668, 167.161, 46.82765373825607
1683872, 167.127, 51.51485355493445
1893076, 148.27, 56.49399641817606
2102280, 149.471, 60.86926542456829
2311484, 149.931, 65.35256079927663
2520688, 169.443, 68.44607008748503
2729892, 170.197, 72.2386871195219
2939096, 171.133, 76.02708202678784
3148300, 171.541, 53.41475755253298
3357504, 192.418, 55.921729551486024
3566708, 172.758, 58.83561140300167
3775912, 194.304, 60.3138991479734
3985116, 173.885, 62.4170438675795
