x_axis,lantencys,speed
1,20.184,138.637
5,20.254,688.274
9,20.090,1237.878
13,20.076,1810.252
17,20.237,2355.349
21,20.258,2784.030
25,20.093,2633.493
29,20.119,2633.881
33,20.123,2621.685
37,20.050,2633.078
41,20.122,2574.269
45,20.078,2578.864
49,20.061,2588.192
