x_axis,lantencys,speed
1, 130.134, 32.35044380118679
5, 167.903, 129.99743769551614
9, 210.285, 132.41177244841919
13, 214.423, 134.7939023817985
17, 254.411, 135.92162414816576
21, 173.853, 136.9281432222292
25, 296.306, 137.44976970326155
29, 263.939, 138.4916610576638
33, 383.639, 138.1489423100537
37, 389.248, 139.77565080043294
41, 426.755, 140.64529749212105
45, 432.023, 141.37933155295843
49, 418.329, 144.57920604638085
