x_axis,lantencys,speed
1,20.117,136.542
2,20.071,273.477
4,20.125,548.246
6,20.153,822.299
8,20.122,1096.243
10,20.092,1372.648
12,20.108,1644.219
14,20.142,1930.931
16,20.113,2207.221
