x_axis,lantencys,speed,qps,
256,20.925,0.011611646503739439,45
362,20.779,0.016221051947869658,46
512,20.836,0.022719066529269312,46
724,20.775,0.03191364374908035,45
1024,20.78,0.044920306484825416,45
1448,20.759,0.06338662692127402,45
2048,20.751,0.08935699849452834,46
2896,20.856,0.12596553540045058,45
4096,20.788,0.17785827935551565,45
5793,20.802,0.2515116417937519,45
8192,20.837,0.35445263815089506,45
11585,20.85,0.500598868030043,45
16384,20.881,0.7064897138279236,45
23170,21.063,0.9952406568536789,45
32768,21.189,1.4005388885020236,44
46341,23.824,1.9789185650819863,44
65536,41.141,2.7625711375085475,44
92682,41.367,3.8930463382875393,44
131072,47.552,5.387630989128533,42
185364,24.845,7.512087999732364,41
262144,22.959,10.392999487301351,41
370728,163.745,13.947446786542933,38
524288,123.632,19.607385876364425,37
741455,124.51,26.616776658458324,35
1048576,31.707,36.05826934555252,34
1482910,146.794,46.955259285184255,30
2097152,149.457,61.11409554346418,26
2965821,170.356,76.14385031728177,22
4194304,195.132,64.64349929823884,13
5931642,196.055,69.89197158106126,9
8388608,221.11,81.23921054616292,7
11863283,266.709,80.15479741765265,4
16777216,347.527,84.9005558980566,3
23726566,419.154,85.93321020970512,2
33554432,495.589,89.52627731199816,1
47453133,648.703,94.94550293764898,1
67108864,801.473,97.78095762214271,0
94906266,1116.634,96.42804764667376,0
134217728,1484.527,95.87728565742735,0
189812531,1889.006,101.4804170404168,1
