x_axis,speed,
256,67.27024971533552,
362,69.78314105371145,
512,75.03169156206685,
724,76.79636013337687,
1024,82.49677826131533,
1448,84.72896623157385,
2048,84.41486357321773,
2896,88.71463678661524,
4096,88.53949140673032,
5793,90.77185908314482,
8192,90.24135893967862,
11585,91.12728501547477,
16384,91.9870160913678,
23170,92.02353106588112,
32768,91.2809561979153,
46341,93.78125443183919,
65536,91.26047164437504,
92682,93.66029255396296,
131072,88.53807666319675,
185364,92.83176787609402,
262144,86.69904549703207,
370728,90.1378040675695,
524288,83.32513276906067,
741455,84.80834776596271,
1048576,76.191750088104,
1482910,98.93526753264022,
2097152,64.80938226543475,
2965821,81.07052973544184,
4194304,69.05026820950239,
5931642,71.96226466920722,
8388608,86.61890768740118,
11863283,85.5387530791801,
16777216,88.8964499986694,
23726566,89.68410469911254,
33554432,89.13382385812768,
47453133,88.55733617786545,
67108864,85.52496882327486,
94906266,79.13266853948522,
134217728,63.47311255371457,
189812531,65.15639065282464,
