x_axis,speed,
256,26.53278858999056,
362,40.16439536822033,
512,61.63902504139762,
724,87.19186524673208,
1024,122.53071296256026,
1448,131.05301010319965,
2048,134.00031729098447,
2896,132.35940602980833,
4096,136.68740737996592,
5793,136.7356414040739,
8192,137.17323447251798,
11585,135.67804429529758,
16384,138.04514114191443,
23170,137.70503223352526,
32768,136.73004496552673,
46341,137.12555162685092,
65536,136.51194244545047,
92682,136.21948504979306,
131072,135.6468258074617,
185364,136.04510120588768,
262144,135.72422176964724,
370728,135.05969728058867,
524288,135.03481485642155,
741455,133.96050330021404,
1048576,134.04984945846996,
1482910,133.051148128173,
2097152,132.88068283131656,
2965821,131.71996100847912,
4194304,129.4644330542209,
5931642,127.43956322720199,
8388608,124.24084832682678,
11863283,122.55570886519389,
16777216,117.53705483405125,
23726566,110.93674493484468,
33554432,99.58111140953754,
47453133,91.10734906109656,
67108864,85.94557034531516,
94906266,87.77406438703836,
134217728,90.5920638597957,
189812531,97.47907638293933,
