x_axis,speed,
256,26.216451623774795,
362,47.94560357973902,
512,71.72592211530622,
724,117.63600200818902,
1024,124.53312981919717,
1448,133.16611772613342,
2048,134.22812961551398,
2896,135.75735260929778,
4096,136.30825152939724,
5793,136.60281554524533,
8192,136.23129084254595,
11585,137.9530024174897,
16384,136.74209654762262,
23170,136.19991520821492,
32768,136.43607690436474,
46341,137.3108812856256,
65536,134.88849815955427,
92682,136.40616780232727,
131072,135.926336445307,
185364,135.35975814047052,
262144,135.43714076990824,
370728,135.5038483871367,
524288,135.2594229485671,
741455,134.1358171964839,
1048576,134.18250316800194,
1482910,133.12674251735626,
2097152,133.28277382316855,
2965821,132.34374230650383,
4194304,130.85672506554562,
5931642,128.68094860357115,
8388608,126.75452061083469,
11863283,125.04265445568775,
16777216,120.63083504551071,
23726566,114.62684464685812,
33554432,106.21667906485983,
47453133,97.87614841595243,
67108864,83.91579757204212,
94906266,84.7894958755445,
134217728,83.1896780164287,
189812531,85.99478774258661,
