x_axis,speed,
256,111.46747397375348,
362,116.5512271336394,
512,123.8767588407521,
724,129.77488487158632,
1024,132.23273824459915,
1448,132.58800389528304,
2048,134.87294753793094,
2896,136.30112487528442,
4096,136.70794562227258,
5793,136.7310228949357,
8192,137.52869280010373,
11585,137.2918253516464,
16384,137.6695036705315,
23170,136.72094830597834,
32768,136.9356387463722,
46341,137.37583905101047,
65536,136.36913354752124,
92682,136.53445504623716,
131072,136.44789075871876,
185364,135.79977737217993,
262144,136.01437226006672,
370728,135.7142956490271,
524288,135.53037884803413,
741455,134.9240595575762,
1048576,134.13333985866063,
1482910,134.08837540143062,
2097152,133.44346283397672,
2965821,132.71193554535046,
4194304,132.5063032773188,
5931642,130.50940847963705,
8388608,128.0565394786438,
11863283,126.78623075619855,
16777216,122.17333904341365,
23726566,118.82920090516707,
33554432,110.01958188007714,
47453133,104.77481700251197,
67108864,92.11541798996936,
94906266,83.56036973815569,
134217728,77.80349668593756,
189812531,78.34355467040398,
